setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"11,841,514",12.100629
0,0,300000,100%,raw-br-immed-retired,"378,780,118",12.100629
0,0,300000,100%,raw-br-immed-spec,"378,780,118",12.100629
0,0,300000,100%,raw-br-indirect-spec,"18,864,469",12.100629
0,0,300000,100%,raw-br-mis-pred,"22,984,008",12.100629
0,0,300000,100%,raw-br-mis-pred-retired,"23,125,183",12.100629
0,0,300000,100%,raw-br-pred,"352,149,568",12.095128
0,0,300000,100%,raw-br-retired,"462,024,541",12.095128
0,0,300000,100%,raw-br-return-retired,"63,864,791",12.095128
0,0,300000,100%,raw-br-return-spec,"63,864,791",12.095128
0,0,300000,100%,raw-bus-access,"82,866,026",12.095128
0,0,300000,100%,raw-bus-access-normal,0,12.095128
0,0,300000,100%,raw-bus-access-not-shared,0,12.099086
0,0,300000,100%,raw-bus-access-periph,0,12.099086
0,0,300000,100%,raw-bus-access-rd,"40,856,878",12.099086
0,0,300000,100%,raw-bus-access-shared,0,12.099086
0,0,300000,100%,raw-bus-access-wr,"44,624,930",12.099086
0,0,300000,100%,raw-bus-cycles,"3,618,493,519",12.099086
0,0,300000,100%,raw-cid-write-retired,1,12.114496
0,0,300000,100%,raw-cnt-cycles,0,12.114496
0,0,300000,100%,raw-cpu-cycles,"3,623,411,130",12.114496
0,0,300000,100%,raw-crypto-spec,0,12.114496
0,0,300000,100%,raw-dmb-spec,0,12.114496
0,0,300000,100%,raw-dp-spec,"854,115,131",12.134078
0,0,300000,100%,raw-dsb-spec,0,12.134078
0,0,300000,100%,raw-dtlb-walk,"5,222",12.134078
0,0,300000,100%,raw-exc-dabort,0,12.134078
0,0,300000,100%,raw-exc-fiq,2,12.134078
0,0,300000,100%,raw-exc-hvc,0,12.134078
0,0,300000,100%,raw-exc-irq,"4,849",12.108501
0,0,300000,100%,raw-exc-pabort,0,12.108501
0,0,300000,100%,raw-exc-return,"8,559",12.108501
0,0,300000,100%,raw-exc-smc,0,12.108501
0,0,300000,100%,raw-exc-svc,0,12.108501
0,0,300000,100%,raw-exc-taken,"8,561",12.108501
0,0,300000,100%,raw-exc-trap-dabort,0,12.122138
0,0,300000,100%,raw-exc-trap-fiq,0,12.122138
0,0,300000,100%,raw-exc-trap-irq,0,12.122138
0,0,300000,100%,raw-exc-trap-other,0,12.122138
0,0,300000,100%,raw-exc-trap-pabort,0,12.122138
0,0,300000,100%,raw-exc-undef,0,12.122138
0,0,300000,100%,raw-inst-retired,"2,865,804,979",12.128740
0,0,300000,100%,raw-inst-spec,"2,942,928,556",12.128740
0,0,300000,100%,raw-isb-spec,0,12.128740
0,0,300000,100%,raw-itlb-walk,"2,180",12.128740
0,0,300000,100%,raw-l1d-cache,"1,164,644,906",12.128740
0,0,300000,100%,raw-l1d-cache-allocate,0,12.128740
0,0,300000,100%,raw-l1d-cache-inval,0,12.102205
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,12.102205
0,0,300000,100%,raw-l1d-cache-rd,"1,039,078,063",12.102205
0,0,300000,100%,raw-l1d-cache-refill,"44,205,183",12.102205
0,0,300000,100%,raw-l1d-cache-refill-inner,"44,879,925",12.102205
0,0,300000,100%,raw-l1d-cache-refill-outer,"199,041",12.102205
0,0,300000,100%,raw-l1d-cache-refill-rd,"38,679,989",12.091512
0,0,300000,100%,raw-l1d-cache-refill-wr,"5,482,702",12.091512
0,0,300000,100%,raw-l1d-cache-wb,"46,281,461",12.091512
0,0,300000,100%,raw-l1d-cache-wb-clean,0,12.091512
0,0,300000,100%,raw-l1d-cache-wb-victim,0,12.091512
0,0,300000,100%,raw-l1d-cache-wr,"124,223,975",12.091512
0,0,300000,100%,raw-l1d-tlb,"1,163,787,575",12.129704
0,0,300000,100%,raw-l1d-tlb-rd,0,12.129704
0,0,300000,100%,raw-l1d-tlb-refill,"31,423,426",12.129704
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,12.129704
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,12.129704
0,0,300000,100%,raw-l1d-tlb-wr,0,12.129704
0,0,300000,100%,raw-l1i-cache,"1,966,989,020",12.095371
0,0,300000,100%,raw-l1i-cache-lmiss,0,12.095371
0,0,300000,100%,raw-l1i-cache-refill,"11,100,318",12.095371
0,0,300000,100%,raw-l1i-tlb,"2,140,635,705",12.095371
0,0,300000,100%,raw-l1i-tlb-refill,"4,627,052",12.095371
0,0,300000,100%,raw-l2d-cache,"109,023,477",12.095371
0,0,300000,100%,raw-l2d-cache-allocate,"47,099,563",12.093474
0,0,300000,100%,raw-l2d-cache-inval,0,12.093474
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,12.093474
0,0,300000,100%,raw-l2d-cache-rd,"63,983,171",12.093474
0,0,300000,100%,raw-l2d-cache-refill,"10,453,234",12.093474
0,0,300000,100%,raw-l2d-cache-refill-rd,"10,443,102",12.093474
0,0,300000,100%,raw-l2d-cache-refill-wr,"13,957",12.116998
0,0,300000,100%,raw-l2d-cache-wb,"10,855,000",12.116998
0,0,300000,100%,raw-l2d-cache-wb-clean,0,12.116998
0,0,300000,100%,raw-l2d-cache-wb-victim,0,12.116998
0,0,300000,100%,raw-l2d-cache-wr,"46,834,011",12.116998
0,0,300000,100%,raw-l2d-tlb,"37,115,428",12.116998
0,0,300000,100%,raw-l2d-tlb-rd,0,12.079703
0,0,300000,100%,raw-l2d-tlb-refill,"7,548",12.079703
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,12.079703
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,12.079703
0,0,300000,100%,raw-l2d-tlb-wr,0,12.079703
0,0,300000,100%,raw-l2i-cache,0,12.079703
0,0,300000,100%,raw-l2i-cache-lmiss,0,12.106219
0,0,300000,100%,raw-l2i-cache-refill,0,12.106219
0,0,300000,100%,raw-l2i-tlb,0,12.106219
0,0,300000,100%,raw-l2i-tlb-refill,0,12.106219
0,0,300000,100%,raw-l3d-cache,"20,488,808",12.106219
0,0,300000,100%,raw-l3d-cache-allocate,"10,046,958",12.106219
0,0,300000,100%,raw-l3d-cache-inval,0,12.109695
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,12.109695
0,0,300000,100%,raw-l3d-cache-rd,"10,241,684",12.109695
0,0,300000,100%,raw-l3d-cache-refill,"370,180",12.109695
0,0,300000,100%,raw-l3d-cache-refill-rd,"370,180",12.109695
0,0,300000,100%,raw-l3d-cache-refill-wr,0,12.109695
0,0,300000,100%,raw-l3d-cache-wb,0,12.097902
0,0,300000,100%,raw-l3d-cache-wb-clean,0,12.097902
0,0,300000,100%,raw-l3d-cache-wb-victim,0,12.097902
0,0,300000,100%,raw-l3d-cache-wr,0,12.097902
0,0,300000,100%,raw-ld-retired,"849,620,138",12.097902
0,0,300000,100%,raw-ld-spec,"876,529,053",12.097902
0,0,300000,100%,raw-ldrex-spec,0,12.107221
0,0,300000,100%,raw-ldst-spec,"1,253,051,722",12.107221
0,0,300000,100%,raw-ll-cache,0,12.107221
0,0,300000,100%,raw-ll-cache-miss,0,12.107221
0,0,300000,100%,raw-ll-cache-miss-rd,"376,080",12.107221
0,0,300000,100%,raw-ll-cache-rd,"10,249,859",12.107221
0,0,300000,100%,raw-mem-access,"1,398,857,698",12.095368
0,0,300000,100%,raw-mem-access-rd,"1,028,243,967",12.095368
0,0,300000,100%,raw-mem-access-wr,"370,613,731",12.095368
0,0,300000,100%,raw-memory-error,0,12.095368
0,0,300000,100%,raw-op-retired,0,12.095368
0,0,300000,100%,raw-op-spec,0,12.095368
0,0,300000,100%,raw-pc-write-retired,"293,651,734",12.120405
0,0,300000,100%,raw-pc-write-spec,"474,176,036",12.120405
0,0,300000,100%,raw-rc-ld-spec,0,12.120405
0,0,300000,100%,raw-rc-st-spec,0,12.120405
0,0,300000,100%,raw-remote-access,0,12.120405
0,0,300000,100%,raw-remote-access-rd,0,12.120405
0,0,300000,100%,raw-sample-collision,0,12.082231
0,0,300000,100%,raw-sample-feed,0,12.082231
0,0,300000,100%,raw-sample-filtrate,0,12.082231
0,0,300000,100%,raw-sample-pop,0,12.082231
0,0,300000,100%,raw-st-retired,"368,601,103",12.082231
0,0,300000,100%,raw-st-spec,"376,710,078",12.082231
0,0,300000,100%,raw-stall,0,12.099611
0,0,300000,100%,raw-stall-backend,"1,128,646,082",12.099611
0,0,300000,100%,raw-stall-backend-mem,0,12.099611
0,0,300000,100%,raw-stall-frontend,"199,237,718",12.099611
0,0,300000,100%,raw-stall-slot,0,12.099611
0,0,300000,100%,raw-stall-slot-backend,0,12.099611
0,0,300000,100%,raw-stall-slot-frontend,0,12.094464
0,0,300000,100%,raw-strex-fail-spec,0,12.094464
0,0,300000,100%,raw-strex-pass-spec,0,12.094464
0,0,300000,100%,raw-strex-spec,0,12.094464
0,0,300000,100%,raw-sve-inst-retired,0,12.094464
0,0,300000,100%,raw-sve-inst-spec,0,12.094464
0,0,300000,100%,raw-sw-incr,0,12.109521
0,0,300000,100%,raw-ttbr-write-retired,6,12.109521
0,0,300000,100%,raw-unaligned-ld-spec,0,12.109521
0,0,300000,100%,raw-unaligned-ldst-retired,"1,336,086",12.109521
0,0,300000,100%,raw-unaligned-ldst-spec,0,12.109521
0,0,300000,100%,raw-unaligned-st-spec,0,12.109521
0,0,300000,100%,raw-vfp-spec,"362,008,040",12.108678
0,0,1248000,100%,raw-ase-spec,"11,818,038",2.852875
0,0,1248000,100%,raw-br-immed-retired,"373,196,753",2.852875
0,0,1248000,100%,raw-br-immed-spec,"373,196,753",2.852875
0,0,1248000,100%,raw-br-indirect-spec,"18,714,426",2.852875
0,0,1248000,100%,raw-br-mis-pred,"20,884,449",2.852875
0,0,1248000,100%,raw-br-mis-pred-retired,"21,128,684",2.852875
0,0,1248000,100%,raw-br-pred,"347,481,456",2.856668
0,0,1248000,100%,raw-br-retired,"456,331,035",2.856668
0,0,1248000,100%,raw-br-return-retired,"63,524,776",2.856668
0,0,1248000,100%,raw-br-return-spec,"63,524,776",2.856668
0,0,1248000,100%,raw-bus-access,"41,435,272",2.856668
0,0,1248000,100%,raw-bus-access-normal,0,2.856668
0,0,1248000,100%,raw-bus-access-not-shared,0,2.850986
0,0,1248000,100%,raw-bus-access-periph,0,2.850986
0,0,1248000,100%,raw-bus-access-rd,"21,041,148",2.850986
0,0,1248000,100%,raw-bus-access-shared,0,2.850986
0,0,1248000,100%,raw-bus-access-wr,"22,047,621",2.850986
0,0,1248000,100%,raw-bus-cycles,"3,552,652,864",2.850986
0,0,1248000,100%,raw-cid-write-retired,1,2.851441
0,0,1248000,100%,raw-cnt-cycles,0,2.851441
0,0,1248000,100%,raw-cpu-cycles,"3,553,178,503",2.851441
0,0,1248000,100%,raw-crypto-spec,0,2.851441
0,0,1248000,100%,raw-dmb-spec,0,2.851441
0,0,1248000,100%,raw-dp-spec,"835,612,233",2.858632
0,0,1248000,100%,raw-dsb-spec,0,2.858632
0,0,1248000,100%,raw-dtlb-walk,"7,375",2.858632
0,0,1248000,100%,raw-exc-dabort,0,2.858632
0,0,1248000,100%,raw-exc-fiq,0,2.858632
0,0,1248000,100%,raw-exc-hvc,0,2.858632
0,0,1248000,100%,raw-exc-irq,"1,139",2.845073
0,0,1248000,100%,raw-exc-pabort,0,2.845073
0,0,1248000,100%,raw-exc-return,"4,847",2.845073
0,0,1248000,100%,raw-exc-smc,0,2.845073
0,0,1248000,100%,raw-exc-svc,0,2.845073
0,0,1248000,100%,raw-exc-taken,"4,847",2.845073
0,0,1248000,100%,raw-exc-trap-dabort,0,2.857874
0,0,1248000,100%,raw-exc-trap-fiq,0,2.857874
0,0,1248000,100%,raw-exc-trap-irq,0,2.857874
0,0,1248000,100%,raw-exc-trap-other,0,2.857874
0,0,1248000,100%,raw-exc-trap-pabort,0,2.857874
0,0,1248000,100%,raw-exc-undef,0,2.857874
0,0,1248000,100%,raw-inst-retired,"2,832,663,095",2.853072
0,0,1248000,100%,raw-inst-spec,"2,905,418,878",2.853072
0,0,1248000,100%,raw-isb-spec,0,2.853072
0,0,1248000,100%,raw-itlb-walk,"1,611",2.853072
0,0,1248000,100%,raw-l1d-cache,"1,152,520,883",2.853072
0,0,1248000,100%,raw-l1d-cache-allocate,0,2.853072
0,0,1248000,100%,raw-l1d-cache-inval,0,2.849399
0,0,1248000,100%,raw-l1d-cache-lmiss-rd,0,2.849399
0,0,1248000,100%,raw-l1d-cache-rd,"1,029,623,492",2.849399
0,0,1248000,100%,raw-l1d-cache-refill,"42,617,966",2.849399
0,0,1248000,100%,raw-l1d-cache-refill-inner,"43,357,177",2.849399
0,0,1248000,100%,raw-l1d-cache-refill-outer,"117,150",2.849399
0,0,1248000,100%,raw-l1d-cache-refill-rd,"37,221,848",2.849216
0,0,1248000,100%,raw-l1d-cache-refill-wr,"5,432,346",2.849216
0,0,1248000,100%,raw-l1d-cache-wb,"44,541,698",2.849216
0,0,1248000,100%,raw-l1d-cache-wb-clean,0,2.849216
0,0,1248000,100%,raw-l1d-cache-wb-victim,0,2.849216
0,0,1248000,100%,raw-l1d-cache-wr,"124,339,473",2.849216
0,0,1248000,100%,raw-l1d-tlb,"1,151,048,012",2.845098
0,0,1248000,100%,raw-l1d-tlb-rd,0,2.845098
0,0,1248000,100%,raw-l1d-tlb-refill,"28,754,902",2.845098
0,0,1248000,100%,raw-l1d-tlb-refill-rd,0,2.845098
0,0,1248000,100%,raw-l1d-tlb-refill-wr,0,2.845098
0,0,1248000,100%,raw-l1d-tlb-wr,0,2.845098
0,0,1248000,100%,raw-l1i-cache,"1,934,389,832",2.850540
0,0,1248000,100%,raw-l1i-cache-lmiss,0,2.850540
0,0,1248000,100%,raw-l1i-cache-refill,"7,980,725",2.850540
0,0,1248000,100%,raw-l1i-tlb,"2,068,025,317",2.850540
0,0,1248000,100%,raw-l1i-tlb-refill,"4,465,831",2.850540
0,0,1248000,100%,raw-l2d-cache,"100,508,707",2.850540
0,0,1248000,100%,raw-l2d-cache-allocate,"44,003,445",2.845738
0,0,1248000,100%,raw-l2d-cache-inval,0,2.845738
0,0,1248000,100%,raw-l2d-cache-lmiss-rd,0,2.845738
0,0,1248000,100%,raw-l2d-cache-rd,"55,716,227",2.845738
0,0,1248000,100%,raw-l2d-cache-refill,"5,063,914",2.845738
0,0,1248000,100%,raw-l2d-cache-refill-rd,"5,052,863",2.845738
0,0,1248000,100%,raw-l2d-cache-refill-wr,"13,661",2.853412
0,0,1248000,100%,raw-l2d-cache-wb,"5,759,334",2.853412
0,0,1248000,100%,raw-l2d-cache-wb-clean,0,2.853412
0,0,1248000,100%,raw-l2d-cache-wb-victim,0,2.853412
0,0,1248000,100%,raw-l2d-cache-wr,"44,459,579",2.853412
0,0,1248000,100%,raw-l2d-tlb,"35,314,113",2.853412
0,0,1248000,100%,raw-l2d-tlb-rd,0,2.850310
0,0,1248000,100%,raw-l2d-tlb-refill,"9,046",2.850310
0,0,1248000,100%,raw-l2d-tlb-refill-rd,0,2.850310
0,0,1248000,100%,raw-l2d-tlb-refill-wr,0,2.850310
0,0,1248000,100%,raw-l2d-tlb-wr,0,2.850310
0,0,1248000,100%,raw-l2i-cache,0,2.850310
0,0,1248000,100%,raw-l2i-cache-lmiss,0,2.848297
0,0,1248000,100%,raw-l2i-cache-refill,0,2.848297
0,0,1248000,100%,raw-l2i-tlb,0,2.848297
0,0,1248000,100%,raw-l2i-tlb-refill,0,2.848297
0,0,1248000,100%,raw-l3d-cache,"10,178,656",2.848297
0,0,1248000,100%,raw-l3d-cache-allocate,"5,012,026",2.848297
0,0,1248000,100%,raw-l3d-cache-inval,0,2.852968
0,0,1248000,100%,raw-l3d-cache-lmiss-rd,0,2.852968
0,0,1248000,100%,raw-l3d-cache-rd,"5,163,935",2.852968
0,0,1248000,100%,raw-l3d-cache-refill,"246,308",2.852968
0,0,1248000,100%,raw-l3d-cache-refill-rd,"246,308",2.852968
0,0,1248000,100%,raw-l3d-cache-refill-wr,0,2.852968
0,0,1248000,100%,raw-l3d-cache-wb,0,2.851355
0,0,1248000,100%,raw-l3d-cache-wb-clean,0,2.851355
0,0,1248000,100%,raw-l3d-cache-wb-victim,0,2.851355
0,0,1248000,100%,raw-l3d-cache-wr,0,2.851355
0,0,1248000,100%,raw-ld-retired,"841,998,536",2.851355
0,0,1248000,100%,raw-ld-spec,"867,585,809",2.851355
0,0,1248000,100%,raw-ldrex-spec,0,2.851736
0,0,1248000,100%,raw-ldst-spec,"1,240,304,790",2.851736
0,0,1248000,100%,raw-ll-cache,0,2.851736
0,0,1248000,100%,raw-ll-cache-miss,0,2.851736
0,0,1248000,100%,raw-ll-cache-miss-rd,"249,181",2.851736
0,0,1248000,100%,raw-ll-cache-rd,"5,232,335",2.851736
0,0,1248000,100%,raw-mem-access,"1,386,628,367",2.849633
0,0,1248000,100%,raw-mem-access-rd,"1,019,471,944",2.849633
0,0,1248000,100%,raw-mem-access-wr,"367,156,423",2.849633
0,0,1248000,100%,raw-memory-error,0,2.849633
0,0,1248000,100%,raw-op-retired,0,2.849633
0,0,1248000,100%,raw-op-spec,0,2.849633
0,0,1248000,100%,raw-pc-write-retired,"290,476,849",2.851214
0,0,1248000,100%,raw-pc-write-spec,"467,458,962",2.851214
0,0,1248000,100%,raw-rc-ld-spec,0,2.851214
0,0,1248000,100%,raw-rc-st-spec,0,2.851214
0,0,1248000,100%,raw-remote-access,0,2.851214
0,0,1248000,100%,raw-remote-access-rd,0,2.851214
0,0,1248000,100%,raw-sample-collision,0,2.852001
0,0,1248000,100%,raw-sample-feed,0,2.852001
0,0,1248000,100%,raw-sample-filtrate,0,2.852001
0,0,1248000,100%,raw-sample-pop,0,2.852001
0,0,1248000,100%,raw-st-retired,"365,224,338",2.852001
0,0,1248000,100%,raw-st-spec,"372,800,950",2.852001
0,0,1248000,100%,raw-stall,0,2.847688
0,0,1248000,100%,raw-stall-backend,"1,115,907,985",2.847688
0,0,1248000,100%,raw-stall-backend-mem,0,2.847688
0,0,1248000,100%,raw-stall-frontend,"172,548,105",2.847688
0,0,1248000,100%,raw-stall-slot,0,2.847688
0,0,1248000,100%,raw-stall-slot-backend,0,2.847688
0,0,1248000,100%,raw-stall-slot-frontend,0,2.848159
0,0,1248000,100%,raw-strex-fail-spec,0,2.848159
0,0,1248000,100%,raw-strex-pass-spec,0,2.848159
0,0,1248000,100%,raw-strex-spec,0,2.848159
0,0,1248000,100%,raw-sve-inst-retired,0,2.848159
0,0,1248000,100%,raw-sve-inst-spec,0,2.848159
0,0,1248000,100%,raw-sw-incr,0,2.849334
0,0,1248000,100%,raw-ttbr-write-retired,6,2.849334
0,0,1248000,100%,raw-unaligned-ld-spec,0,2.849334
0,0,1248000,100%,raw-unaligned-ldst-retired,"1,339,703",2.849334
0,0,1248000,100%,raw-unaligned-ldst-spec,0,2.849334
0,0,1248000,100%,raw-unaligned-st-spec,0,2.849334
0,0,1248000,100%,raw-vfp-spec,"361,955,198",2.849214
0,0,1804800,100%,raw-ase-spec,"11,815,607",1.980949
0,0,1804800,100%,raw-br-immed-retired,"372,769,346",1.980949
0,0,1804800,100%,raw-br-immed-spec,"372,769,346",1.980949
0,0,1804800,100%,raw-br-indirect-spec,"18,703,193",1.980949
0,0,1804800,100%,raw-br-mis-pred,"20,721,872",1.980949
0,0,1804800,100%,raw-br-mis-pred-retired,"20,964,769",1.980949
0,0,1804800,100%,raw-br-pred,"347,105,213",1.978431
0,0,1804800,100%,raw-br-retired,"455,794,373",1.978431
0,0,1804800,100%,raw-br-return-retired,"63,490,925",1.978431
0,0,1804800,100%,raw-br-return-spec,"63,490,925",1.978431
0,0,1804800,100%,raw-bus-access,"40,625,941",1.978431
0,0,1804800,100%,raw-bus-access-normal,0,1.978431
0,0,1804800,100%,raw-bus-access-not-shared,0,1.975267
0,0,1804800,100%,raw-bus-access-periph,0,1.975267
0,0,1804800,100%,raw-bus-access-rd,"18,265,149",1.975267
0,0,1804800,100%,raw-bus-access-shared,0,1.975267
0,0,1804800,100%,raw-bus-access-wr,"19,042,156",1.975267
0,0,1804800,100%,raw-bus-cycles,"3,559,442,692",1.975267
0,0,1804800,100%,raw-cid-write-retired,1,1.975412
0,0,1804800,100%,raw-cnt-cycles,0,1.975412
0,0,1804800,100%,raw-cpu-cycles,"3,559,957,069",1.975412
0,0,1804800,100%,raw-crypto-spec,0,1.975412
0,0,1804800,100%,raw-dmb-spec,0,1.975412
0,0,1804800,100%,raw-dp-spec,"833,925,505",1.976751
0,0,1804800,100%,raw-dsb-spec,0,1.976751
0,0,1804800,100%,raw-dtlb-walk,"4,750",1.976751
0,0,1804800,100%,raw-exc-dabort,0,1.976751
0,0,1804800,100%,raw-exc-fiq,0,1.976751
0,0,1804800,100%,raw-exc-hvc,0,1.976751
0,0,1804800,100%,raw-exc-irq,793,1.977795
0,0,1804800,100%,raw-exc-pabort,0,1.977795
0,0,1804800,100%,raw-exc-return,"4,503",1.977795
0,0,1804800,100%,raw-exc-smc,0,1.977795
0,0,1804800,100%,raw-exc-svc,0,1.977795
0,0,1804800,100%,raw-exc-taken,"4,503",1.977795
0,0,1804800,100%,raw-exc-trap-dabort,0,1.975383
0,0,1804800,100%,raw-exc-trap-fiq,0,1.975383
0,0,1804800,100%,raw-exc-trap-irq,0,1.975383
0,0,1804800,100%,raw-exc-trap-other,0,1.975383
0,0,1804800,100%,raw-exc-trap-pabort,0,1.975383
0,0,1804800,100%,raw-exc-undef,0,1.975383
0,0,1804800,100%,raw-inst-retired,"2,829,543,105",1.974805
0,0,1804800,100%,raw-inst-spec,"2,901,798,664",1.974805
0,0,1804800,100%,raw-isb-spec,0,1.974805
0,0,1804800,100%,raw-itlb-walk,"1,658",1.974805
0,0,1804800,100%,raw-l1d-cache,"1,152,766,545",1.974805
0,0,1804800,100%,raw-l1d-cache-allocate,0,1.974805
0,0,1804800,100%,raw-l1d-cache-inval,0,1.975805
0,0,1804800,100%,raw-l1d-cache-lmiss-rd,0,1.975805
0,0,1804800,100%,raw-l1d-cache-rd,"1,028,793,869",1.975805
0,0,1804800,100%,raw-l1d-cache-refill,"42,713,338",1.975805
0,0,1804800,100%,raw-l1d-cache-refill-inner,"43,448,138",1.975805
0,0,1804800,100%,raw-l1d-cache-refill-outer,"117,892",1.975805
0,0,1804800,100%,raw-l1d-cache-refill-rd,"36,709,939",1.974655
0,0,1804800,100%,raw-l1d-cache-refill-wr,"5,568,186",1.974655
0,0,1804800,100%,raw-l1d-cache-wb,"44,116,149",1.974655
